runner_up_rank,group_name,team_id,team_name,fifa_code,flag_code,fifa_rank,rank_snapshot_date,played_counting_results,wins,draws,losses,goals_for,goals_against,goal_difference,points,status,advanced_to_round_id,notes,source_name,source_url
1,Group F,caf_gab,Gabon,GAB,GA,85,2023-06-30,8,6,1,1,15,9,6,19,advanced,caf_2026_second_round,Matches against sixth-place teams excluded for runner-up ranking. Top four advanced to CAF playoff.,FIFA / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
2,Group B,caf_cod,DR Congo,COD,CD,69,2023-06-30,8,5,1,2,10,5,5,16,advanced,caf_2026_second_round,Matches against sixth-place teams excluded for runner-up ranking. Top four advanced to CAF playoff.,FIFA / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
3,Group D,caf_cmr,Cameroon,CMR,CM,43,2023-06-30,8,4,3,1,14,5,9,15,advanced,caf_2026_second_round,Matches against sixth-place teams excluded for runner-up ranking. Top four advanced to CAF playoff.,FIFA / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
4,Group C,caf_nga,Nigeria,NGA,NG,39,2023-06-30,8,4,3,1,13,6,7,15,advanced,caf_2026_second_round,Matches against sixth-place teams excluded for runner-up ranking. Top four advanced to CAF playoff.,FIFA / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
5,Group A,caf_bfa,Burkina Faso,BFA,BF,55,2023-06-30,8,4,3,1,13,7,6,15,eliminated,,Matches against sixth-place teams excluded for runner-up ranking. Top four advanced to CAF playoff.,FIFA / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
6,Group E,caf_nig,Niger,NIG,NE,128,2023-06-30,8,5,0,3,11,10,1,15,eliminated,,Matches against sixth-place teams excluded for runner-up ranking. Top four advanced to CAF playoff.,FIFA / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
7,Group I,caf_mad,Madagascar,MAD,MG,107,2023-06-30,8,4,1,3,11,11,0,13,eliminated,,Matches against sixth-place teams excluded for runner-up ranking. Top four advanced to CAF playoff.,FIFA / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
8,Group G,caf_uga,Uganda,UGA,UG,92,2023-06-30,8,4,0,4,11,9,2,12,eliminated,,Matches against sixth-place teams excluded for runner-up ranking. Top four advanced to CAF playoff.,FIFA / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
9,Group H,caf_nam,Namibia,NAM,NA,112,2023-06-30,8,2,3,3,8,10,-2,9,eliminated,,Matches against sixth-place teams excluded for runner-up ranking. Top four advanced to CAF playoff.,FIFA / Wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification_(CAF)
